NW_019174737.1	BDQW01000482.1
NW_019174738.1	BDQW01000483.1
NW_019174739.1	BDQW01000484.1
NW_019174740.1	BDQW01000485.1
NW_019174741.1	BDQW01000486.1
NW_019174742.1	BDQW01000487.1
NW_019174743.1	BDQW01000488.1
NW_019174744.1	BDQW01000489.1
NW_019174745.1	BDQW01000490.1
NW_019174746.1	BDQW01000491.1
NW_019174747.1	BDQW01000492.1
NW_019174748.1	BDQW01000493.1
NW_019174749.1	BDQW01000494.1
NW_019174750.1	BDQW01000495.1
NW_019174751.1	BDQW01000496.1
NW_019174752.1	BDQW01000497.1
NW_019174753.1	BDQW01000498.1
NW_019174754.1	BDQW01000499.1
NW_019174755.1	BDQW01000500.1
NW_019174756.1	BDQW01000501.1
NW_019174757.1	BDQW01000502.1
NW_019174758.1	BDQW01000503.1
NW_019174759.1	BDQW01000504.1
NW_019174760.1	BDQW01000505.1
NW_019174761.1	BDQW01000506.1
NW_019174762.1	BDQW01000507.1
NW_019174763.1	BDQW01000508.1
NW_019174764.1	BDQW01000509.1
NW_019174765.1	BDQW01000510.1
NW_019174766.1	BDQW01000511.1
NW_019174767.1	BDQW01000512.1
NW_019174768.1	BDQW01000513.1
NW_019174769.1	BDQW01000514.1
NW_019174770.1	BDQW01000515.1
NW_019174771.1	BDQW01000516.1
NW_019174772.1	BDQW01000517.1
NW_019174773.1	BDQW01000518.1
NW_019174774.1	BDQW01000519.1
NW_019174775.1	BDQW01000520.1
NW_019174776.1	BDQW01000521.1
NW_019174777.1	BDQW01000522.1
NW_019174778.1	BDQW01000523.1
NW_019174779.1	BDQW01000524.1
NW_019174780.1	BDQW01000525.1
NW_019174781.1	BDQW01000526.1
NW_019174782.1	BDQW01000527.1
NW_019174783.1	BDQW01000528.1
NW_019174784.1	BDQW01000529.1
NW_019174785.1	BDQW01000530.1
NW_019174786.1	BDQW01000531.1
NW_019174787.1	BDQW01000532.1
NW_019174788.1	BDQW01000533.1
NW_019174789.1	BDQW01000534.1
NW_019174790.1	BDQW01000535.1
NW_019174791.1	BDQW01000536.1
NW_019174792.1	BDQW01000537.1
NW_019174793.1	BDQW01000538.1
NW_019174794.1	BDQW01000539.1
NW_019174795.1	BDQW01000540.1
NW_019174796.1	BDQW01000541.1
NW_019174797.1	BDQW01000542.1
NW_019174798.1	BDQW01000543.1
NW_019174799.1	BDQW01000544.1
NW_019174800.1	BDQW01000545.1
NW_019174801.1	BDQW01000546.1
NW_019174802.1	BDQW01000547.1
NW_019174803.1	BDQW01000548.1
NW_019174804.1	BDQW01000549.1
NW_019174805.1	BDQW01000550.1
NW_019174806.1	BDQW01000551.1
NW_019174807.1	BDQW01000552.1
NW_019174808.1	BDQW01000553.1
NW_019174809.1	BDQW01000554.1
NW_019174810.1	BDQW01000555.1
NW_019174811.1	BDQW01000556.1
NW_019174812.1	BDQW01000557.1
NW_019174813.1	BDQW01000558.1
NW_019174814.1	BDQW01000559.1
NW_019174815.1	BDQW01000560.1
NW_019174816.1	BDQW01000561.1
NW_019174817.1	BDQW01000562.1
NW_019174818.1	BDQW01000563.1
NW_019174819.1	BDQW01000564.1
NW_019174820.1	BDQW01000565.1
NW_019174821.1	BDQW01000566.1
NW_019174822.1	BDQW01000567.1
NW_019174823.1	BDQW01000568.1
NW_019174824.1	BDQW01000569.1
NW_019174825.1	BDQW01000570.1
NW_019174826.1	BDQW01000571.1
NW_019174827.1	BDQW01000572.1
NW_019174828.1	BDQW01000573.1
NW_019174829.1	BDQW01000574.1
NW_019174830.1	BDQW01000575.1
NW_019174831.1	BDQW01000576.1
NW_019174832.1	BDQW01000577.1
NW_019174833.1	BDQW01000578.1
NW_019174834.1	BDQW01000579.1
NW_019174835.1	BDQW01000580.1
NW_019174836.1	BDQW01000581.1
NW_019174837.1	BDQW01000582.1
NW_019174838.1	BDQW01000583.1
NW_019174839.1	BDQW01000584.1
NW_019174840.1	BDQW01000585.1
NW_019174841.1	BDQW01000586.1
NW_019174842.1	BDQW01000587.1
NW_019174843.1	BDQW01000588.1
NW_019174844.1	BDQW01000589.1
NW_019174845.1	BDQW01000590.1
NW_019174846.1	BDQW01000591.1
NW_019174847.1	BDQW01000592.1
